sep=,
"JLO CRM - Work Breakdown Structure (WBS)",,,,,,
"Project: JLO CRM Implementation",,,,,,
"Date: 22/12/2024",,,,,,
,,,,,,
"MODULE SUMMARY",,,,,,
"Module","Components","Services","APIs","Complexity","Story Points (Min)","Story Points (Max)"
"Customer",8,2,22,"HIGH",85,110
"Case",5,4,25,"MEDIUM-HIGH",48,58
"Knowledge Base (KB)",13,4,21,"MEDIUM-HIGH",45,55
"Dashboard",1,1,6,"MEDIUM",15,20
"Consulting",3,3,8,"MEDIUM",20,28
"System",22,16,54,"HIGH",120,145
"Shared/Infrastructure",10,5,20,"MEDIUM",53,79
,,,,,,
"Total Development",62,35,156,"",386,495
"Testing (+25%)",,,,"",97,124
"Documentation (+10%)",,,,"",39,50
"Grand Total",,,,"",522,669
,,,,,,
"TIMELINE ESTIMATION",,,,,,
"Team Size","Sprint Velocity (pts/sprint)","Sprints Needed","Duration (weeks)","Notes",,
"2 Developers",40,"13-17","26-34","Sequential development",,
"3 Developers",60,"9-12","18-24","Recommended",,
"4 Developers",80,"7-9","14-18","Parallel workstreams",,
"5 Developers",100,"6-7","12-14","Maximum parallelization",,
,,,,,,
"PHASE BREAKDOWN",,,,,,
"Phase","Modules","Story Points","Duration (3 devs)","Priority",,
"Phase 1 - Core","System (Core), Customer, Case, Infrastructure","218-283","11-14 weeks","MUST HAVE",,
"Phase 2 - Extended","KB, Dashboard, Consulting, System (Remaining)","168-212","8-11 weeks","SHOULD HAVE",,
